Equation_ID,Real Equation,Predicted Equation,Error,Time Taken
I.6.2a,exp(-theta**2/2)/sqrt(2*pi),"div(tan(sin(sub(sin(sin(ARG0)), add(sub(sin(ARG0), ARG0), exp(tan(sub(sin(ARG0), add(ARG0, ARG0)))))))), ARG0)","(0.0005407525139686182,)",63.18994998931885
I.6.2,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),"div(cos(ARG1), ARG0)","(0.0007267396041764848,)",73.6619622707367
I.6.2b,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),"div(ARG0, sub(ARG0, sub(sub(sub(mul(ARG1, ARG0), add(ARG2, ARG2)), add(ARG0, ARG2)), sub(sin(ARG1), sub(exp(ARG2), ARG1)))))","(0.0008371071600106229,)",58.69644379615784
I.8.14,sqrt((x2-x1)**2+(y2-y1)**2),"add(add(sqrt(add(mul(ARG0, ARG0), add(div(ARG3, ARG1), sin(ARG0)))), add(div(ARG3, ARG0), sin(ARG3))), ARG1)","(11007.648866292082,)",63.89305543899536
I.9.18,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),"div(cos(div(ARG2, add(add(ARG1, sqrt(ARG3)), ARG5))), ARG4)","(0.0005519830061073947,)",87.90604162216187
I.10.7,m_0/sqrt(1-v**2/c**2),"sub(ARG0, exp(exp(div(cos(cos(add(ARG1, ARG0))), sin(ARG1)))))","(388.9698083831653,)",33.87777280807495
I.11.19,x1*y1+x2*y2+x3*y3,"add(mul(ARG2, add(div(ARG0, add(ARG4, ARG2)), add(add(add(ARG4, ARG5), ARG3), ARG3))), add(sub(ARG0, ARG1), add(div(ARG0, ARG0), add(ARG0, ARG4))))","(35672806.02322607,)",39.21851444244385
I.12.1,mu*Nn,"mul(ARG0, ARG1)","(0.002137486991277647,)",33.680821657180786
I.12.2,q1*q2*r/(4*pi*epsilon*r**3),"sin(exp(sub(sub(mul(sin(ARG2), ARG2), exp(sub(ARG3, sqrt(sin(ARG3))))), ARG0)))","(7.555747861952116,)",47.68635177612305
I.12.4,q1*r/(4*pi*epsilon*r**3),"sin(div(div(ARG0, sub(ARG2, ARG1)), add(ARG1, ARG0)))","(0.0001523654896587781,)",87.08033084869385
I.12.5,q2*Ef,"mul(ARG1, ARG0)","(0.0006331951307819432,)",25.29803776741028
I.12.11,q*(Ef+B*v*sin(theta)),"sub(mul(sub(ARG1, mul(ARG4, ARG2)), ARG3), mul(ARG1, ARG2))","(169698642370.4909,)",61.51361536979675
I.13.4,1/2*m*(v**2+u**2+w**2),"exp(sqrt(sub(div(sqrt(ARG2), sin(exp(ARG0))), ARG1)))","(5203147274845.55,)",80.60267210006714
I.13.12,G*m1*m2*(1/r2-1/r1),"div(exp(sin(sub(add(ARG1, ARG1), exp(ARG2)))), ARG2)","(0.0010820105695676808,)",78.45206499099731
I.14.3,m*g*z,"mul(ARG0, mul(ARG1, ARG2))","(0.0005253311800759741,)",50.1682493686676
