Equation_ID,Real Equation,Predicted Equation,Error,Time Taken
I.30.5,arcsin(lambd/(n*d)),"div(add(div(ARG1, add(ARG1, add(div(ARG1, add(ARG1, cos(exp(ARG1)))), cos(exp(ARG1))))), cos(add(cos(sin(ARG1)), add(tan(tan(ARG0)), cos(ARG1))))), add(ARG2, ARG1))","(0.0016785016689356987,)",92.81503033638
I.32.5,q**2*a**2/(6*pi*epsilon*c**3),sin(sqrt(sqrt(ARG0))),"(array([0.01768559]),)",52.019347190856934
I.32.17,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),"mul(sub(sqrt(tan(sin(sub(ARG2, ARG3)))), mul(ARG2, mul(ARG2, mul(ARG0, ARG5)))), mul(ARG2, mul(ARG2, ARG3)))","(array([2.30735885e+29]),)",35.71103119850159
I.34.8,q*v*B/p,"mul(ARG2, add(mul(div(ARG1, ARG3), sub(ARG0, ARG3)), ARG1))","(0.00045140171660171377,)",32.648497581481934
I.34.1,omega_0/(1-v/c),"div(mul(add(ARG2, ARG0), ARG2), add(exp(add(ARG0, ARG0)), ARG0))","(83699.11910303755,)",37.797590255737305
I.34.14,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,"add(ARG2, exp(exp(sin(ARG1))))","(784.2419280111508,)",29.594516038894653
I.34.27,(h/(2*pi))*omega,"mul(sqrt(ARG0), sub(add(ARG1, ARG1), cos(exp(ARG0))))","(236771.75842936136,)",30.548043489456177
I.37.4,I1+I2+2*sqrt(I1*I2)*cos(delta),"add(ARG0, add(tan(ARG0), sub(ARG0, ARG2)))","(7577.487915701553,)",21.679047346115112
I.38.12,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),"div(div(ARG2, sin(sin(ARG1))), mul(sub(add(exp(exp(ARG2)), ARG1), ARG3), add(ARG3, ARG3)))","(2.1774450146439968,)",43.577479124069214
I.39.1,3/2*pr*V,"sub(mul(add(sqrt(sub(add(sqrt(sub(sin(sqrt(sin(ARG1))), sub(ARG0, add(ARG1, add(ARG1, ARG1))))), ARG1), sub(ARG0, add(add(ARG1, ARG0), add(ARG1, ARG1))))), add(add(ARG1, sqrt(add(ARG1, ARG1))), sqrt(add(ARG1, ARG1)))), ARG0), ARG1)","(8354842.390741244,)",55.86381268501282
I.39.11,1/(gamma-1)*pr*V,"sub(tan(ARG0), add(sub(sub(add(ARG2, ARG1), ARG2), ARG2), div(ARG1, exp(sqrt(ARG0)))))","(34607.97726146473,)",45.511969566345215
I.39.22,n*kb*T/V,,0,0.0
I.40.1,n_0*exp(-m*g*x/(kb*T)),cos(ARG1),"(inf,)",31.727291584014893
I.41.16,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),"add(add(add(sub(add(ARG4, add(ARG3, ARG1)), tan(ARG1)), div(add(ARG1, ARG0), sin(ARG3))), cos(ARG3)), sub(add(ARG4, add(add(add(sub(add(ARG4, add(ARG3, ARG3)), tan(ARG1)), add(add(exp(sin(ARG0)), ARG0), ARG3)), cos(ARG3)), add(sin(ARG1), ARG0))), tan(ARG1)))","(245230.5444769645,)",26.3800368309021
I.43.16,mu_drift*q*Volt/d,"sub(mul(ARG0, add(ARG2, ARG3)), mul(ARG1, add(ARG1, ARG0)))","(295268830.60211515,)",28.264389991760254
