,X0,X1,X2,X3,X4,X5,X6,X7,target
0,-0.399498981,0.987655126,0.760676699,0.295804133,-0.645008405,0.358714137,-0.213445119,-0.989097861,-1.44E-11
1,-0.986010397,-0.227688628,-0.737042337,-0.520062111,0.387240362,0.468335496,0.280457553,0.196348096,2.47E-10
2,0.464916367,0.326079657,-0.510902498,-0.994824681,0.173122952,-0.517835781,0.568627923,0.617611939,1.42E-11
3,-0.375732259,-0.657703592,-0.763666465,0.322133714,0.337394694,0.839772284,0.888206081,-0.703295447,4.16E-12
4,0.99406492,-0.202334002,0.307638599,0.715130554,0.307235796,0.143373523,0.08810643,-0.564908322,-2.17E-11
5,0.18834728,0.15857818,-0.38339271,-0.613390723,-0.98009406,-0.409237891,0.839388416,-0.237769469,1.29E-12
6,0.416448521,-0.187248798,-0.824886775,0.831890436,0.091527151,-0.282511661,-0.17061689,0.930203392,-1.27E-12
7,-0.957758381,-0.747877282,0.790092699,0.76584652,0.677283218,-0.267031496,-0.527078395,0.383118974,2.78E-11
8,0.173161408,-0.38805503,-0.225305606,-0.07568431,-0.224029469,0.668867007,-0.49169592,0.76917052,-1.86E-12
9,-0.046502473,0.306531027,0.269553821,0.106038612,0.93977488,-0.500506062,-0.133898241,-0.613910845,-4.08E-13
10,-0.86414527,-0.237101569,-0.400355238,0.422222217,0.876864471,0.900683438,0.845378367,0.537093413,1.77E-11
11,-0.527270832,-0.248102887,0.703171685,-0.711773706,-0.11431376,0.157433809,0.197418289,-0.313481266,3.74E-12
12,-0.858875872,0.763129945,-0.568328096,-0.23810111,-0.383403581,-0.205725209,-0.165898516,0.83546904,-3.83E-11
13,-0.093977347,-0.426242145,-0.309939437,0.742970105,-0.021682144,0.095348244,0.000709406,-0.874129158,1.42E-12
14,-0.122482602,0.422329471,0.397470718,0.058680742,0.121095789,0.54469438,0.251937792,-0.934293536,-2.03E-12
15,-0.690656367,0.533122128,0.690303209,0.011130759,-0.757550965,0.818400119,0.786519729,0.745602068,-8.34E-12
16,-0.334925301,-0.834570771,-0.070987233,-0.952518961,-0.908187726,0.376066594,0.690436407,-0.078923889,6.18E-12
17,0.977268398,-0.576569324,0.620175052,-0.300341231,0.086872831,-0.08539715,0.824727988,-0.575659862,-1.32E-11
18,-0.027512525,0.885437127,-0.874581541,0.226647117,0.337481104,0.25463777,-0.057779051,-0.643623875,-1.04E-12
19,0.3082897,-0.77679803,0.803084195,0.522866759,-0.264233495,0.6567719,-0.781573635,0.92576423,-4.16E-12
20,-0.213350277,0.49260396,-0.49329048,0.749837528,0.085793533,0.444054909,-0.540689175,-0.249115986,-3.99E-12
21,0.528562854,0.04564298,0.105260354,0.612420636,-0.009975824,-0.065494671,-0.126159056,0.662275884,1.83E-12
22,-0.486866641,0.912583647,0.626804417,0.479336847,0.286567257,0.880683107,-0.342773221,-0.750989155,-5.48E-11
23,-0.926474873,0.578557416,0.028718006,0.724441167,-0.865045165,-0.632300065,-0.734229634,0.290558558,-2.25E-11
24,-0.85805432,-0.841381658,-0.90590743,0.772970889,-0.035844762,0.348696803,-0.268519834,-0.203531354,1.62E-11
25,-0.308856547,0.347566955,-0.122342566,0.176387263,0.264872142,0.908028813,0.628455253,-0.319795018,-5.11E-12
26,-0.614233101,-0.573580859,-0.341892243,0.47890839,-0.699669949,-0.346396175,-0.975299641,-0.198154572,1.68E-11
27,-0.849581216,-0.584741987,0.189818813,-0.717491222,-0.783468546,0.763010004,0.706116967,-0.74776284,6.22E-12
28,0.875496899,-0.377148067,0.045765692,-0.421379545,-0.212771732,-0.970097626,-0.067782577,0.937089808,-1.22E-11
29,0.78142645,-0.059187815,0.100153562,0.350650498,0.609308719,-0.347508764,-0.184470662,0.596943181,-1.94E-12
30,-0.149805792,-0.295974676,-0.016824224,-0.950408909,0.857760702,0.036743486,0.935848078,-0.587035902,7.66E-13
31,0.516563472,0.904073491,0.057074275,0.110422887,0.997662332,-0.773842689,-0.473972763,-0.214658013,9.71E-12
32,0.637016895,0.199466532,0.517519346,-0.129291973,0.272437066,-0.62965366,-0.334273737,-0.746163098,6.05E-12
33,0.530816162,0.056771807,-0.77979048,-0.772813396,0.73809496,0.085950523,-0.843059351,0.111247642,1.51E-12
34,-0.847063026,0.772364203,0.50296825,0.187476597,-0.090042783,-0.200677342,0.38578599,0.630978628,-2.54E-10
35,-0.190473293,0.968396445,-0.03950356,-0.479227465,0.994627546,0.228072669,0.226927566,0.677610414,-1.25E-11
36,-0.186475324,-0.833577174,-0.695670069,-0.478139134,0.962844475,0.611553041,0.534096675,-0.804652714,5.28E-12
37,0.030438098,0.122988925,0.04831196,-0.388559866,-0.143070729,0.550469239,-0.839392061,0.219237894,1.39E-13
38,-0.923228039,0.518195145,0.707606216,0.462798135,0.47809819,-0.200822589,-0.665189429,0.477253074,-1.75E-11
39,-0.448247384,0.333851963,-0.133606121,0.332097784,-0.351252539,0.674692253,0.363395382,0.605634942,-7.52E-12
40,0.914444038,-0.83942993,-0.425221608,-0.382669162,0.01066459,-0.852783859,-0.201640761,-0.321548961,-6.72E-11
41,-0.503141502,-0.091128035,-0.419279129,0.777857414,-0.439048227,0.6042994,-0.213791877,0.230736889,1.13E-12
42,-0.767605861,0.024832882,0.897614116,-0.261077664,-0.628996459,-0.957909941,0.791150968,-0.296403698,-4.83E-13
43,-0.304805107,0.908324934,0.943522697,0.351136494,-0.709712106,0.93719634,-0.701669459,-0.888903166,-5.96E-12
44,-0.920059888,-0.286160201,0.485255881,-0.050898594,0.868082872,0.753814635,-0.57384217,-0.342765671,4.96E-11
45,-0.095538249,0.643243073,0.762564648,-0.441926744,-0.228209338,-0.962376509,-0.494317691,-0.402488171,-2.05E-12
46,-0.855632745,-0.36928376,0.632870412,0.885300114,-0.790768432,-0.585379967,-0.886331738,-0.542581251,9.41E-11
47,0.159650752,0.220889055,0.519170813,0.897932223,-0.942441605,-0.327905681,-0.456324938,-0.378640946,4.46E-12
48,-0.967928609,-0.731764684,0.186140888,-0.987878253,0.046942887,0.187775971,0.741077162,0.964418946,3.26E-11
49,0.319057023,0.837560292,0.015873653,-0.545426628,0.298137227,0.101969245,0.193896346,-0.506554259,2.11E-11
50,-0.746489389,0.788508147,0.276152164,-0.127871192,0.368382735,0.54521205,-0.40163855,0.630879432,-3.12E-11
51,-0.690771179,0.855245865,0.475961095,-0.363225154,0.578363773,0.344346901,-0.958802729,0.038792167,-2.25E-11
52,0.868622632,-0.904435075,-0.269033174,0.791219586,-0.193443901,0.592243768,0.059105584,0.812540467,-2.27E-11
53,0.633974117,-0.526401129,-0.945066978,-0.291184501,0.943768756,-0.241913658,0.796522247,-0.756834053,-5.24E-12
54,-0.286273081,-0.185904307,0.041862714,-0.252806714,-0.896129855,-0.986140325,0.060590011,0.204881489,3.07E-11
