X0,X1,X2,target
-93.57137819496933,28.285882952393223,-21.41873642002915,-0.045393663786974736
151.77009075532084,179.49469447888367,126.62189109202092,-0.0634619798150888
60.0225262066113,147.11339110157115,190.32940355761173,-0.035363425922656365
-188.1021992815209,-187.73942739059333,-188.17089962036374,-0.043357307270956956
-132.3078088312025,155.46170692793635,15.3812877630358,-0.00040512571362516514
-131.45221446719273,167.660435786545,156.652062468029,-0.019058014929887082
-18.9055569246961,-172.92294062139018,-110.94512361887539,-0.017222935534502857
-37.97746789990924,-199.82956985748044,-2.5017074288398646,0.0069938416594135105
119.87786008220041,63.31357313914674,131.99193757730916,-0.03128987446089075
-125.82284444721176,-102.91681817554696,-104.45603720974144,-0.02239780633943909
